12001,"来能说。	2017/12/2 9:24","柠檬树。	2017/12/2 9:24","给我唱一首。	2017/12/2 9:25"
12026,"来儿歌。	2017/12/30 10:25","快呀。	2017/12/30 11:18","唱歌。	2017/12/30 11:20"
12027,"妞妞妞妞妞妞呢，你不要理那他怎么，鲨鱼？	2017/11/29 17:44","想与大家共享网络的个人，你叫什么名字，你叫小渔吗，小云小雨你好你叫什么名字。	2017/11/29 17:44","那你就教下，那你叫毛毛叫大毛吧，好不好，钢琴，叫大毛好不好，干净的咪咪啊你叫敏敏小云你叫秘密吗？	2017/11/29 17:45"
12028,"你在哪里呀。	2017/12/17 17:41","那就糟糕了吧。	2017/12/30 14:26","你在哪里呀。	2017/12/30 14:42"
12029,"山不转水转。	2017/11/29 17:25","潇洒走一回。	2017/11/29 20:50","刘欢。	2017/11/29 21:01"
12030,"播放周杰伦的歌曲。	2017/10/26 11:06","播放周杰伦的歌曲。	2017/10/26 11:07","周杰伦。	2017/10/26 11:08"
12031,"数星星。	2017/11/29 19:43","数星星。	2017/11/29 19:47","咖哩咖哩。	2017/11/29 19:52"
12032,"他家可o小歪歪说。	2017/11/29 21:34","偶像万万岁。	2017/11/29 21:35","向井理的给偷来。	2017/11/29 21:38"
12033,"歌曲伤雨。	2017/10/26 23:55","放首歌。	2017/11/29 15:39","放首张议天的歌。	2017/11/29 15:40"
12034,"播放一曲许巍的空谷幽兰。	2017/12/19 21:50","晚安。	2017/12/19 23:20","吉他演奏器。	2017/12/19 23:26"
12035,"我要看电影。	2017/11/29 21:53","我说电脑上的。	2017/11/29 21:53","我说电脑上的播放器。	2017/11/29 21:53"
12036,"打开导航。	2017/10/26 15:49","去首邑上城。	2017/10/26 15:49","音乐为什么不播放？	2017/10/26 15:56"
12037,"你叫什么名字。	2017/12/20 20:43","要叫圆寂我们能交个好朋友吗？	2017/12/20 20:43","你可以告诉我做鱼香肉丝吗？	2017/12/20 20:45"
12038,"播放一首歌。	2017/12/5 21:47","读一个故事。	2017/12/5 21:48","放一下苹果播放小苹果。	2017/12/5 21:49"
12039,"哇哇。	2017/12/28 19:13","来一首歌曲是的娃娃。	2017/12/28 19:13","你去拥抱这个歌曲。	2017/12/28 19:14"
12040,"显示前面的路况。	2017/11/29 18:17","不想让妮妮开始。	2017/11/29 20:40","他只要是黄磊都不懂啊，电影，其他了，你想整。	2017/11/29 20:40"
12041,"我想要让他跳舞。	2017/12/30 19:41","再跳一支舞。	2017/12/30 19:43","三生三世。	2017/12/30 19:45"
12042,"请播放过客。	2017/10/26 17:21","帮我播放一首过客。	2017/10/26 17:21","下个月有钱就给他交，上个月我的两个月降幅一次。	2017/10/26 17:40"
12043,"飞机。	2017/10/26 7:34","夜莺。	2017/10/26 7:34","音乐。	2017/10/26 7:41"
12044,"娘娘。	2017/11/28 21:58","张碧晨凉了。	2017/11/28 21:58","谭咏麟说不出再见。	2017/11/28 21:59"
12045,"来啦，马山玉琴。	2017/11/19 10:35","你找我来吧。	2017/11/19 10:42","闭上眼睛。	2017/11/19 10:42"
12046,"我要听萤火虫。	2017/12/16 8:54","绑定设备。	2017/12/16 9:26","我要听萤火虫。	2017/12/16 9:31"
12047,"请帮我播放玖月奇迹的歌。	2017/10/26 17:32","下一首歌。	2017/10/26 17:34","请播放大型音乐舞蹈史诗东方红。	2017/10/26 17:41"
12048,"关机。	2017/10/26 19:56","想听歌。	2017/10/26 20:21","周杰伦的歌。	2017/10/26 20:22"
12049,"听一个大黑狗。	2017/12/5 0:59","你会最大音量，不能再大了。	2017/12/5 1:00","让我自由飞翔。	2017/12/5 1:04"
12050,"播放小苹果。	2017/12/4 19:04","播放一首儿歌。	2017/12/20 18:39","播放一首。	2017/12/20 18:41"
12051,"我想要听。	2017/11/10 18:23","苹果。	2017/11/10 18:24","我想要听好宝宝。	2017/11/10 18:28"
12052,"给我。	2017/12/28 13:02","在500年前最古老的动物是什么。	2017/12/28 13:02","没。	2017/12/28 13:02"
12053,"我想听电视。	2017/12/30 20:40","跳舞。	2017/12/30 20:40","小苹果。	2017/12/30 20:41"
12054,"啊对呀。	2017/12/22 14:34","嗯你好你真好。	2017/12/22 14:34","刚好遇见你。	2017/12/22 14:35"
12055,"我只在乎你舞曲。	2017/10/26 13:31","王心凌唱的歌曲。	2017/10/26 13:32","幸运幸运。	2017/10/26 13:32"
12056,"听张学友的歌。	2017/10/26 16:09","去浙江慈溪。	2017/10/26 16:10","我要听那个。	2017/10/26 16:11"
12057,"这个是全国统一价。	2017/11/6 15:49","历史上今天发生了什么事啊。	2017/11/6 15:50","还有很多都能讲笑话讲相声，都会。	2017/11/6 15:50"
12058,"播放歌曲孙悟空。	2017/10/26 16:35","播放歌曲悟空。	2017/10/26 16:36","你看你挂这些。	2017/10/26 18:29"
12059,"六。	2017/10/26 11:40","曾经深情地说。	2017/10/26 11:40","音乐。	2017/10/26 11:41"
12060,"呵呵。	2017/11/29 9:26","啊，你会怎么样？	2017/11/29 9:26","讲不出再见。	2017/11/29 10:08"
12061,"第一场雪。	2017/12/27 8:51","你好。	2017/12/27 9:01","小苹果。	2017/12/27 9:02"
12062,"让我把你卖掉。	2017/11/30 17:16","那你告诉我晚上要去哪。	2017/11/30 17:16","你不知道我我要你干嘛呀。	2017/11/30 17:16"
12063,"一八日，制造。	2017/10/26 19:25","放一首一八的ez。	2017/10/26 19:25","放一首荷东。	2017/10/26 19:27"
12064,"清凉。	2017/10/26 18:43","我要听梁梁。	2017/10/26 18:43","我要听誓言。	2017/10/26 18:46"
12065,"dj串烧音乐	2017/10/26 9:19","增大音量	2017/10/26 9:20","来一大波dj串烧音乐	2017/10/26 9:48"
12066,"潘光文电话。	2017/11/29 20:03","电子眼。	2017/11/29 20:52","退出电子眼。	2017/11/29 20:52"
12067,"请放邓丽君的歌曲。	2017/10/26 16:35","请放刘德华的歌曲。	2017/10/26 16:38","请唱刘德华的爱你一万年。	2017/10/26 21:06"
12068,"马戏团。	2017/11/29 21:52","巴拉拉小魔仙故事。	2017/11/29 21:53","咕噜咕噜美人鱼。	2017/11/29 21:55"
12069,"我要把你换掉。	2017/10/26 20:56","我要换一个，行车记录仪。	2017/10/26 20:56","我要听泡沫。	2017/10/26 21:00"
12070,"把d es p。	2017/11/29 11:15","的4p。	2017/11/29 11:15","因为你所处的年龄各边享受着生活，孙悟空套装了中国的战略呢，66890628。	2017/11/29 13:13"
12071,"跳个舞吧。	2017/11/29 12:51","跳个舞。	2017/11/29 12:53","新年曲催眠曲。	2017/11/29 12:59"
12072,"让我心情不好怎么办呀？	2017/12/12 20:29","那你先给我唱首歌吧。	2017/12/12 20:30","小妹你给我唱首歌。	2017/12/12 20:30"
12073,"听歌。	2017/10/26 17:34","听音乐。	2017/11/29 14:16","听音乐。	2017/11/29 19:10"
12074,"找我干啥。	2017/11/30 20:37","那个。	2017/11/30 20:37","给我唱一首周华健的朋友。	2017/11/30 20:39"
12075,"唱一首小小魔法给我听。	2017/12/23 12:33","唱一首小小魔法。	2017/12/23 12:33","你可以唱一首小星星给我听吧。	2017/12/23 12:34"
12076,"刚好遇见你。	2017/12/31 15:02","会不会唱，要是会唱的话唱一个。	2017/12/31 15:04","唱一个吧。	2017/12/31 15:04"
12077,"明天六点能叫醒我吗？	2017/11/12 21:21","闹钟六点钟。	2017/11/12 21:21","种太阳。	2017/11/13 7:15"
12078,"杨洋。	2017/12/18 20:39","小笨。	2017/12/18 20:39","放一首英文歌。	2017/12/18 20:39"
12079,"你带我去岳阳火车站。	2017/10/26 2:17","请关闭导航。	2017/10/26 2:30","请问张学友的歌。	2017/10/26 11:02"
12080,"解冻你好。	2017/11/29 10:49","Una。	2017/11/29 11:28","和去你家在哪里。	2017/11/29 11:28"
12081,"继续唱歌继续放歌。	2017/11/29 19:24","继续播放。	2017/11/29 19:24","你现在在哪里啊。	2017/11/29 19:24"
12082,"讲个故事。	2017/12/1 16:15","讲故事。	2017/12/2 10:36","唱儿歌。	2017/12/4 12:19"
12083,"播放林雨流行音乐。	2017/11/29 20:17","播放流行音乐。	2017/11/29 20:17","放陈瑞音乐。	2017/11/29 20:18"
12084,"思念一年又一年。	2017/10/26 16:22","思念一年又一年。	2017/10/26 16:38","思思念念全是你。	2017/10/26 16:41"
12085,"唱歌。	2017/11/3 15:54","跳个舞吧。	2017/11/11 15:57","唱个卡修斯。	2017/11/11 15:58"
12086,"小凯你好。	2017/11/29 19:37","小凯你好，打开行车记录仪。	2017/11/29 19:37","唱一首彭丽媛唱的歌。	2017/11/29 19:38"
12087,"十万个为什么？	2017/12/22 21:37","一年级英语。	2017/12/23 21:54","青春修炼手册。	2017/12/23 21:56"
12088,"背背首。	2017/11/8 13:30","被手背头上长干吃吧。	2017/11/8 13:30","别唱歌啦。	2017/11/8 13:30"
12089,"到的是男人累还是女人累。	2017/11/29 8:37","一放就老了。	2017/11/29 17:15","爱一场痛一场。	2017/11/29 17:26"
12090,"啊。	2017/11/25 19:46","瓶装的那个。	2017/11/25 19:46","小白兔儿歌。	2017/11/25 19:48"
12091,"国旗国旗真美丽。	2017/10/26 22:11","不工作。	2017/10/26 22:12","刮起刮起，真美女，惊喜惊喜，着答的，我要变成笑话里，飞向蓝天。	2017/10/26 22:13"
12092,"不好。	2017/12/28 20:30","你好我叫什么名字呀。	2017/12/28 20:30","你给他说你叫什么名字。	2017/12/28 20:30"
12093,"我要过年歌。	2017/11/29 21:18","分班的。	2017/11/29 21:19","刚背刚。	2017/11/29 21:22"
12094,"你猜一首歌	2017/10/26 21:26","睡不着讲故事	2017/10/26 21:27","欧豪的歌	2017/10/26 21:29"
12095,"当然的歌。	2017/11/1 18:13","一生的事吧。	2017/11/1 18:13","童年便。	2017/11/1 18:16"
12096,"你能给我说一个故事吗？	2017/12/18 18:42","想生娃呀我想问你个问题行不行。	2017/12/18 18:43","你冷不冷啊。	2017/12/18 18:44"
12097,"去唱歌四。	2017/11/29 15:55","去常德市瑞泰宾馆。	2017/11/29 15:56","情绪，唱歌四。	2017/11/29 16:20"
12098,"越南歌你的样子。	2017/10/26 20:35","哈哈你在哪儿。	2017/10/26 20:48","去哪里。	2017/10/26 20:53"
12099,"跳舞。	2017/12/12 22:31","跳舞。	2017/12/12 22:32","我的电话号码是。	2017/12/12 22:34"
12100,"我想听。	2017/12/31 20:10","我想听不怕不怕。	2017/12/31 20:10","不怕。	2017/12/31 20:11"
12101,"伤心夜都市。	2017/11/29 13:48","秋风落叶。	2017/11/29 13:49","请安静的忘记我。	2017/11/29 13:50"
12102,"你耳朵好小哦。	2017/12/30 23:42","为什么不有一个大耳朵呢？	2017/12/30 23:42","可是你同样有个大耳朵呀。	2017/12/30 23:42"
12103,"你好小笨。	2017/11/6 18:59","你好小笨。	2017/11/6 18:59","嗯，小妹唱一个。	2017/11/6 18:59"
12104,"播放哈尼。	2017/12/21 15:48","播放青藏高原。	2017/12/21 15:48","爸爸妈妈最爱我。	2017/12/21 15:52"
12105,"漂洋过海来看你。	2017/10/26 16:43","杀猪刀。	2017/10/26 16:46","到车舞。	2017/11/29 16:52"
12106,"新校人。	2017/11/29 18:03","听肖央。	2017/11/29 18:04","200个响亮咯。	2017/11/29 18:04"
12107,"故事。	2017/12/13 18:56","行不行啊我都等不及了。	2017/12/13 18:56","唱一首光头强故事。	2017/12/13 18:57"
12108,"我给你取个名字叫表妹。	2017/11/29 11:25","名字改过来了。	2017/11/29 11:26","爱自己和是固定不变的。	2017/11/29 11:26"
12109,"小兔子。	2017/12/28 17:40","地址。	2017/12/28 20:03","两个小狗，你看你是傻掉。	2017/12/28 20:04"
12110,"你几岁啦。	2017/12/22 12:19","好的。	2017/12/22 12:19","我喜欢你你喜欢我吗？	2017/12/22 12:21"
12111,"播放小苹果，这把剑有问题。	2017/11/1 17:39","这个怎么看的多？	2017/11/1 17:41","这个怎么叫他，播放小苹果？	2017/11/1 17:41"
12112,"小丑。	2017/10/26 22:30","休愁。	2017/10/26 22:30","北方姑娘。	2017/10/26 22:43"
12113,"青花瓷。	2017/10/26 17:27","周杰伦青花瓷。	2017/10/26 17:30","周杰伦青花瓷。	2017/10/26 17:31"
12114,"你讲文明。	2017/12/24 10:07","希腊。	2017/12/24 10:07","听小宝贝。	2017/12/24 10:08"
12115,"呵呵。	2017/11/29 8:30","下一首歌。	2017/11/29 8:30","音乐。	2017/11/29 17:30"
12116,"靠着我。	2017/12/13 18:06","跳支舞。	2017/12/13 18:06","唱支歌。	2017/12/13 18:10"
12117,"昌哥你回来这歌。	2017/11/15 20:34","操你回来了咯。	2017/11/15 20:34","唱一个父亲的歌。	2017/11/15 20:34"
12118,"来首简单爱。	2017/11/29 12:43","我要听周杰伦的简单爱，	2017/11/29 12:43","我要听天路，	2017/11/29 12:43"
12119,"疯狂吧，技术。	2017/10/26 20:54","疯狂的存在。	2017/10/26 20:55","疯狂吧，技术系。	2017/10/26 20:55"
12120,"梅铮铮。	2017/10/26 11:22","播放刀郎的音乐。	2017/10/26 12:23","点一首你好。	2017/10/26 13:35"
12121,"你好你好。	2017/11/29 16:59","打开导航。	2017/11/29 16:59","打开刘德华的歌。	2017/11/29 17:25"
12122,"哎，那个来。	2017/11/30 16:42","今天天气怎么样？	2017/11/30 16:42","那一瞬间。	2017/11/30 16:43"
12123,"我要杀你。	2017/11/18 9:55","我要杀了你。	2017/11/18 9:56","来个。	2017/11/18 9:57"
12124,"关闭音乐。	2017/11/29 15:01","就这样他抢钱的，不知道呀。	2017/11/29 15:33","不用了就是我想的就是他的。	2017/11/29 15:33"
12125,"虾米和姐姐讲的，大林和小林。	2017/11/29 20:48","小迷糊姐姐讲的大连和小林。	2017/11/29 20:49","下面会讲的故事。	2017/11/29 20:49"
12126,"背早发白帝城。	2017/12/27 8:14","跟他对话时问你在说什么。	2017/12/27 8:14","唱茉莉花。	2017/12/27 8:15"
12127,"唱首歌，	2017/10/26 14:18","换一首，	2017/10/26 14:35","听刘德华的歌，	2017/10/26 14:36"
12128,"我点一首恋爱达人听。	2017/10/26 16:08","帮我搜索公共厕所。	2017/10/26 16:51","帮我点一首直来直往。	2017/10/26 17:58"
12129,"你就是在你们那里出来，反正以前你们老大带我去吃过了那个叫吃什么。	2017/11/29 17:40","我是没考啊，他把我扒着你们口t你吃饭我怕得我，ok ok ok。	2017/11/29 17:40","我等你，发给你。	2017/11/29 17:41"
12130,"孙燕姿唱的歌。	2017/12/4 15:44","嗯。	2017/12/4 15:55","所以平常的金包银。	2017/12/4 15:56"
12131,"关闭音乐。	2017/10/26 14:59","返回屏幕。	2017/10/26 17:51","说以后的以后。	2017/11/29 2:33"
12132,"小白龙。	2017/12/26 8:17","嗯。	2017/12/26 8:18","唱我爱北京天安门。	2017/12/26 19:39"
12133,"之歌。	2017/12/22 18:31","唱一首儿歌。	2017/12/22 18:32","来一首吴歌。	2017/12/22 18:34"
12134,"给我放一首田馥甄的小幸运。	2017/12/25 2:27","给我放一首小鸭子。	2017/12/25 2:27","给我放一首田馥甄的小幸运。	2017/12/25 2:28"
12135,"小凯在吗？	2017/10/26 16:57","你好。	2017/10/26 16:57","听孙露的歌。	2017/10/26 17:04"
12136,"跳支舞吧。	2017/11/4 20:40","为什么照月寒他上楼需要？	2017/11/5 19:29","为什么赵悦涵发上来，需要爸爸妈妈抱？	2017/11/5 19:30"
12137,"效果。	2017/11/23 10:55","下午给。	2017/11/23 10:56","唱儿歌。	2017/11/23 11:01"
12138,"你妈逼操你妈的你听不懂吗？	2017/11/29 10:07","主人说脏话不好。	2017/11/29 10:07","唱歌。	2017/11/29 10:07"
12139,"唱一首上学歌。	2017/12/30 19:27","我教你们。	2017/12/30 19:28","唱一首上学歌。	2017/12/30 19:30"
12140,"给我播放你好毒。	2017/10/26 10:20","播放张学友的你好毒。	2017/10/26 10:22","算你狠。	2017/10/26 10:27"
12141,"第一次爱的人。	2017/10/26 20:42","自作多情。	2017/10/26 20:45","讲不出再见。	2017/10/26 20:55"
12142,"清洁。	2017/11/29 11:59","嗯。	2017/11/29 12:00","野蜂飞舞。	2017/11/29 12:00"
12143,"播放，	2017/11/29 12:33","播放张学友的歌，	2017/11/29 12:33","我要听龙王传说。	2017/11/29 12:33"
12144,"来一个写景的歌曲。	2017/12/26 14:38","你说的大象怎么叫？	2017/12/26 14:42","唱一首歌吧，逆流成河。	2017/12/26 14:43"
12145,"小苹果。	2017/10/26 19:32","许字幕。	2017/10/26 19:33","董贞则。	2017/10/26 19:33"
12146,"给我唱首歌吧。	2017/12/19 12:28","椒江，姥姥和妈妈他们为什么？	2017/12/19 12:32","给王慕瑶唱一首药师心咒。	2017/12/19 12:33"
12147,"四川话怎么说的？	2017/12/28 19:15","大王叫我。	2017/12/28 19:34","大王叫我来巡山。	2017/12/28 19:35"
12148,"给我唱首歌听。	2017/12/11 20:51","唱为你为我。	2017/12/11 20:52","给我唱十年。	2017/12/11 20:56"
12149,"疯婆婆。	2017/12/28 18:30","风婆婆的故事。	2017/12/28 18:31","小苹果。	2017/12/28 21:17"
12150,"你是哪儿来的。	2017/12/21 12:42","么咪。	2017/12/21 12:42","唱一下鲁冰花。	2017/12/21 12:43"
12151,"丫的。	2017/11/30 17:09","你就在家玩吧。	2017/11/30 17:23","你要听你要听啊。	2017/11/30 17:23"
12152,"动物园里有什么。	2017/12/28 21:35","不是的我就是问一下动物园里有什么。	2017/12/28 21:35","你能看见我吗？	2017/12/28 21:36"
12153,"唱一首李玉刚新贵妃醉酒。	2017/12/30 13:06","唱一首李玉刚新贵妃醉酒。	2017/12/30 13:11","我要听李玉刚的刚好遇见你。	2017/12/30 13:41"
12154,"你要哪个菜呢，觉得就收几条一餐了，差点林宥嘉，我上次就叫他跟他过，我差不多。	2017/10/26 17:28","帮我放一首拿什么爱我。	2017/10/26 19:05","帮我放一首，消愁。	2017/10/26 19:06"
12155,"天真无邪。	2017/12/22 14:16","你好。	2017/12/22 14:17","忘了小苹果。	2017/12/22 14:17"
12156,"我是美丽。	2017/12/22 16:52","知道我名字。	2017/12/22 16:52","我的名字叫，记住我吗？	2017/12/22 16:52"
12157,"如果幸福你就拍拍手。	2017/11/3 19:53","如果幸福你就拍拍手。	2017/11/3 19:54","如果感到幸福你就拍拍手，的儿歌。	2017/11/3 19:54"
12158,"无言。	2017/10/26 17:18","说好不难过。	2017/10/26 17:19","迷恋优叔。	2017/10/26 17:22"
12159,"小苹果。	2017/12/9 17:12","小苹果。	2017/12/9 17:16","小苹果。	2017/12/9 18:47"
12160,"1。	2017/11/29 17:19","things are beyond good。	2017/11/29 17:19","放一首喜欢。	2017/11/29 17:21"
12161,"小陈。	2017/12/22 19:54","不相信。	2017/12/22 19:55","你叫我的名字我的名字老师，小陈。	2017/12/22 19:55"
12162,"感不好怎么办？	2017/12/8 10:23","给我唱一首。	2017/12/8 10:24","在北京的金山上。	2017/12/8 11:26"
12163,"你叫什么名字。	2017/11/20 19:39","嗯。	2017/11/20 19:39","放一首儿歌。	2017/11/20 19:43"
12164,"海岸城。	2017/11/29 16:34","你不要说话了。	2017/11/29 16:55","来点音乐。	2017/11/29 17:55"
12165,"我要给我们不一样。	2017/11/29 7:32","我要给我们不一样我们不一样。	2017/11/29 7:32","我要听歌。	2017/11/29 7:33"
12166,"嗯，老公不听话怎么办？	2017/12/24 15:12","孩子不听话怎么办？	2017/12/24 15:12","唱一首金珊。	2017/12/24 15:14"
12167,"你是我的玫瑰你是我的花。	2017/11/29 22:04","是啥意思，苍茫的天涯是窝的一隅，你是我的玫瑰你是我的花。	2017/11/29 22:05","我要听歌听你是我的玫瑰你是我的花。	2017/11/29 22:05"
12168,"给点。	2017/12/30 9:29","放一首捉泥鳅吧。	2017/12/30 11:12","唱一首摇篮曲吧。	2017/12/30 11:18"
12169,"我想你了。	2017/12/15 19:26","来个唱歌。	2017/12/15 19:28","奥特曼插曲。	2017/12/15 19:32"
12170,"牙齿会衰老，规整。	2017/12/28 19:26","看看。	2017/12/28 19:26","我们的歌。	2017/12/28 19:27"
12171,"放首儿歌。	2017/12/16 22:59","学个狗叫。	2017/12/16 23:00","儿歌。	2017/12/17 10:09"
12172,"不爱我怎么办？	2017/12/18 22:52","我想离婚。	2017/12/18 22:52","有没有什么好听的儿歌呀。	2017/12/18 22:54"
12173,"我要听一首诗。	2017/12/23 17:41","我要听孙中山破裂迪克文。	2017/12/23 17:42","一分钱。	2017/12/23 17:56"
12174,"帮我导到菏泽市娘娘营。	2017/11/29 16:41","播放音乐。	2017/11/29 17:10","我爱你放一首经典老歌。	2017/11/29 19:42"
12175,"放学习歌。	2017/11/29 18:49","唱学习歌。	2017/11/29 18:52","起床歌。	2017/11/29 19:02"
12176,"请问。	2017/12/17 10:07","你好。	2017/12/17 10:07","hello。	2017/12/17 10:07"
12177,"小跳蛙。	2017/10/26 19:58","可以永远是小跳蛙。	2017/10/26 20:02","小青蛙。	2017/10/26 20:19"
12178,"经典故事。	2017/12/17 12:45","老师老师。	2017/12/17 12:51","给我放一下老师。	2017/12/17 12:52"
12179,"哎呀你这说的这句话。	2017/10/26 12:07","你本身就是个傻瓜。	2017/10/26 12:07","想说什么吗？	2017/10/26 18:48"
12180,"听歌。	2017/10/26 7:36","听歌。	2017/11/29 6:46","听歌。	2017/11/29 7:43"
12181,"第八。	2017/12/30 11:42","哈哈。	2017/12/30 11:42","上学。	2017/12/30 11:45"
12182,"谁知道啊。	2017/12/19 20:45","太子丹，等一下他就翻。	2017/12/19 20:45","你喜欢虫儿飞羊。	2017/12/19 20:45"
12183,"唱拔萝卜。	2017/12/26 19:08","唱小苹果。	2017/12/26 19:10","我们不一样的歌。	2017/12/26 19:29"
12184,"你。	2017/12/30 21:43","基本功基本功。	2017/12/30 21:43","手绢。	2017/12/30 21:50"
12185,"王力宏。	2017/11/29 14:32","播放王力宏的歌。	2017/11/29 14:32","查找王力宏的歌。	2017/11/29 14:33"
12186,"皮皮虾。	2017/10/26 18:50","病鸡。	2017/10/26 18:56","酒吧的gee。	2017/10/26 18:56"
12187,"你喜欢我吗？	2017/12/22 20:26","好呀你学会了什么新东西呀。	2017/12/22 20:26","你可以做我女朋友吗？	2017/12/22 20:27"
12188,"你是个傻逼。	2017/10/26 7:43","你就是个傻逼。	2017/10/26 7:43","给主人唱首歌。	2017/10/26 7:43"
12189,"播放杨柳青。	2017/11/29 10:59","播放杨柳青。	2017/11/29 10:59","搜索杨柳青。	2017/11/29 11:00"
12190,"唱个生日快乐。	2017/11/1 21:07","拿来干嘛的说。	2017/11/1 21:08","你说吧要说什么。	2017/11/1 21:08"
12191,"唱小苹果。	2017/12/30 15:11","唱葫芦娃。	2017/12/30 15:15","嗯嗯嗯嗯嗯。	2017/12/30 19:59"
12192,"小芮你好。	2017/10/26 21:29","请取消音乐。	2017/10/26 21:29","hello。	2017/10/26 21:31"
12193,"歌手。	2017/12/16 19:03","大王派我来巡山。	2017/12/16 19:04","喜羊羊与灰太狼。	2017/12/16 19:04"
12194,"我要听故事。	2017/12/23 8:06","兔子。	2017/12/23 8:06","我要听兔子赛跑。	2017/12/23 8:07"
12195,"迪丽热巴是谁。	2017/11/3 18:16","你真厉害。	2017/11/3 18:16","鹿晗是谁。	2017/11/3 18:16"
12196,"同桌的你。	2017/10/26 10:43","同桌的你。	2017/10/26 10:43","帮我播一首同桌的你。	2017/10/26 10:43"
12197,"为了你好。	2017/11/29 9:11","给我放手，天王盖地虎。	2017/11/29 9:11","我放首歌以后才明白，dj版的。	2017/11/29 9:31"
12198,"十一，怎么写？	2017/12/24 12:04","好吧。	2017/12/24 12:04","我要听晚安。	2017/12/24 12:05"
12199,"潘金莲和西门庆。	2017/10/26 20:00","大长今。	2017/11/29 21:55","安徽民间小调。	2017/11/29 22:06"
12200,"桂林有句歌词	2017/10/26 11:46","最美的光	2017/10/26 11:46","最美的光	2017/10/26 11:47"
12201,"王焕凤为什么叫猪头？	2017/11/29 0:24","我叫什么名字。	2017/11/29 0:24","我的名字，驾照驾照，光头强，记住没有。	2017/11/29 0:24"
12202,"唱邓紫棋的歌吧。	2017/11/23 8:32","参考。	2017/11/25 8:14","扯淡，好听的歌。	2017/11/25 8:14"
12203,"啊最近应该差不多能少个几十块钱。	2017/12/2 20:14","瞎扯啥他说啥。	2017/12/2 20:14","可以给我唱一首歌吗？	2017/12/2 20:15"
